angular/angular.js,7352,7333,0.6637372809,Y
angular/angular.js,16335,15412,0.6407375948,Y
angular/angular.js,6166,3863,0.6223957979,Y
angular/angular.js,5327,5230,0.6121810053,Y
angular/angular.js,4797,4788,0.6079151013,Y
angular/angular.js,8426,5933,0.6044359484,N
angular/angular.js,8926,1653,0.6029130228,N(similar)
angular/angular.js,8781,7685,0.6020145939,N(?)
angular/angular.js,10136,9865,0.6004838158,Y
angular/angular.js,14220,12957,0.6000805914,N
ansible/ansible,29668,28848,0.6472124608,Y
ansible/ansible,35343,24108,0.6158815016,Y
ansible/ansible,35471,20272,0.6083069019,N
ansible/ansible,21667,19558,0.6063221784,Y
ansible/ansible,27001,26967,0.6045492465,Y
ceph/ceph,7497,7356,0.606060052,Y
ceph/ceph,20413,20384,0.5999576563,Y
ceph/ceph,19838,19764,0.6471593145,Y
ceph/ceph,17999,17801,0.6518650706,Y
ceph/ceph,13818,13550,0.6249985267,N(followup)
ceph/ceph,1589,1517,0.632869059,Y
cocos2d/cocos2d-x,16238,16232,0.6700930846,Y
cocos2d/cocos2d-x,13778,12071,0.6140082744,Y
cocos2d/cocos2d-x,12149,12139,0.6014334228,Y
django/django,5662,2585,0.6786472989,Y
django/django,8974,8332,0.6484294084,Y
django/django,4655,4651,0.6181791203,Y
django/django,3909,3694,0.6144130274,Y
django/django,6823,6753,0.6141563805,N
django/django,6558,4492,0.6100157365,N(?)
django/django,5238,1574,0.6067801917,N
docker/docker,7550,7301,0.6073297358,Y
docker/docker,18714,16869,0.6021100812,Y
docker/docker,14312,14177,0.6015844187,Y
docker/docker,1488,999,0.6015844187,Y
docker/docker,15185,14966,0.6009633685,N(?)
docker/docker,34913,32947,0.6007434926,Y
docker/docker,29988,16970,0.6002826338,N(?)
dotnet/corefx,21514,21010,0.6141563805,N(ver)
dotnet/corefx,23158,15812,0.6125478897,N(ver)
dotnet/corefx,22306,20607,0.6103097827,N(ver)
dotnet/corefx,21412,19866,0.6045051886,Y
dotnet/corefx,11185,10972,0.6010170282,N
dotnet/corefx,18536,18484,0.6189,N
dotnet/corefx,21860,16015,0.6142,N
dotnet/corefx,22961,15812,0.6125,N
dotnet/corefx,22009,20607,0.6103,N
dotnet/corefx,9334,9312,0.601,N
elastic/elasticsearch,11661,11658,0.632869059,N
elastic/elasticsearch,24474,22641,0.6312157084,Y
elastic/elasticsearch,27744,27600,0.6097099606,Y
elastic/elasticsearch,13405,13402,0.6071819829,Y
elastic/elasticsearch,4905,2901,0.601459161,Y
elastic/elasticsearch,22935,22930,0.6008204725,Y
emberjs/ember.js,11120,11119,0.622218713,Y
emberjs/ember.js,1235,480,0.6122342402,N
emberjs/ember.js,2503,1849,0.6056059065,N
emberjs/ember.js,12587,12551,0.6015844187,N(revert)
emberjs/ember.js,15345,15288,0.6519,Y
emberjs/ember.js,5437,5370,0.625,N
emberjs/ember.js,11591,11581,0.6146,N(followup)
emberjs/ember.js,1491,709,0.61,N
emberjs/ember.js,12479,3888,0.609,N
emberjs/ember.js,1892,510,0.6013,N
facebook/react,11638,11371,0.634868866,Y
facebook/react,2553,2526,0.6314874039,Y
facebook/react,2443,2422,0.6264316454,Y
facebook/react,4344,4220,0.6144334921,Y
facebook/react,11489,11186,0.6099217871,Y
facebook/react,1702,1548,0.6029130228,Y
facebook/react,12488,6673,0.6011140137,N
hashicorp/terraform,8877,8777,0.6160782028,Y(?)
hashicorp/terraform,9482,8445,0.6118972771,Y
hashicorp/terraform,10178,5299,0.604439548,N
hashicorp/terraform,13743,3764,0.6027628985,Y(?)
hashicorp/terraform,8990,8806,0.6679,Y
hashicorp/terraform,295,164,0.6556,Y
hashicorp/terraform,11812,4736,0.6398,Y
hashicorp/terraform,4899,4704,0.6047,N
joomla/joomla-cms,6219,4761,0.6659906261,Y
joomla/joomla-cms,682,517,0.6637372809,Y
joomla/joomla-cms,12289,11339,0.6518650706,Y
joomla/joomla-cms,20424,19603,0.6359654251,Y
joomla/joomla-cms,3262,1449,0.632869059,N
joomla/joomla-cms,11978,2782,0.6303874683,Y
joomla/joomla-cms,1469,1092,0.6259272427,Y
joomla/joomla-cms,3534,1500,0.6247695621,Y
joomla/joomla-cms,18564,18123,0.6136392315,Y
joomla/joomla-cms,13099,843,0.6071904898,N(?)
joomla/joomla-cms,872,780,0.6053189846,Y
joomla/joomla-cms,5967,4231,0.6007151407,Y
joomla/joomla-cms,18075,18060,0.6001725345,Y
JuliaLang/julia,4455,4454,0.6125478897,Y
JuliaLang/julia,23460,23395,0.6212894741,N
JuliaLang/julia,22579,7755,0.6154698583,N
rails/rails,22137,13605,0.6736651038,Y
rails/rails,25514,25513,0.6679378466,Y
rails/rails,19105,16935,0.6348934453,N(followup)
rails/rails,19641,19421,0.6285439477,Y
rails/rails,4047,4043,0.6211677097,Y
rails/rails,23056,12988,0.6178479621,Y
rails/rails,21632,21490,0.6099217871,Y
rails/rails,8288,7075,0.6099217871,N(?)
rails/rails,4056,3936,0.6089398612,N(?)
rails/rails,13772,354,0.6081447594,N(?)
rails/rails,17200,14146,0.6070894693,N(?)
rails/rails,31803,31741,0.6056287454,Y(?)
