title;desc;code;file_list;location;pattern;overlap_files_len;overlap_title_len;title_idf_sum;label
0.0;0.04640149961143861;0;0.0;0.0;-1;0;0;0;0
0.0;0.002172076495411494;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;-1;0;0;0;0
0.0;0.005136288559652193;0;0.0;0.0;0;0;0;0;0
0.0;0.06939892985842955;0.053784860557768925;0.18181818181818182;0.0;0;2;0;0;0
0.0;0.05858501621770457;0;0.0;0.0;0;0;0;0;0
0.0;0.0762960095136921;0;0.0;0.0;0;0;0;0;0
0.00599802950908669;0.0018137859804519352;0;0.0;0.0;0;0;1;1.0;0
0.21876245467603023;0.03350295085291725;0;0.0;0.0;0;0;3;1.7319775069808392;0
0.016562531483075408;0.032229598732849175;0;0.0;0.0;0;0;1;1.0;0
0.007906972899232222;0.01183176366141363;0;0.0;0.0;-1;0;1;1.0;0
0.0;0.01837560924617628;0;0.0;0.0;0;0;0;0;0
0.0;0.03544288611790442;0;0.0;0.0;-1;0;0;0;0
0.0;0.0422472315341974;0;0.0;0.0;0;0;0;0;0
0.0;0.02660424835018838;0;0.0;0.0;0;0;0;0;0
0.0;0.09823744371370051;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.042439651816035824;0;0.0;0.0;0;0;0;0;0
0.011838907053112439;0.0017606547226613378;0;0.0;0.0;-1;0;1;1.0;0
0.0;0.04120885471570257;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.014314770127008821;0.0;0;0.0;0.0;0;0;1;1.0;0
0.0;0.02729254856778554;0;0.0;0.0;0;0;0;0;0
0.0;0.011232780542869586;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.5474978112058178;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;-1;0;0;0;0
0.0;0.031858879139537395;0;0.0;0.0;0;0;0;0;0
0.026053986873499035;0.0;0;0.0;0.0;0;0;1;1.0;0
0.0;0.016293258081850705;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.22290717226694035;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.10033138488892214;0;0.0;0.0;0;0;0;0;0
0.0;0.021841136747077907;0;0.0;0.0;0;0;0;0;0
0.0;0.052128349336830415;0;0.0;0.0;0;0;0;0;0
0.0;0.05276121768075093;0;0.0;0.0;0;0;0;0;0
0.0;0.04017960209672727;0;0.0;0.0;0;0;0;0;0
0.0;0.0;0;0.0;0.0;0;0;0;0;0
0.0;0.026761361227268434;0;0.0;0.0;-1;0;0;0;0
0.07346533496768719;0.034430701288364035;0;0.0;0.0;0;0;1;1.0;0
0.0;0.1099043286013183;0;0.0;0.0;-1;0;0;0;0
0.0;0.06972194165415792;0;0.0;0.0;0;0;0;0;0
0.0;0.013048901421553682;0;0.0;0.0;0;0;0;0;0
0.0;0.4276926673123987;0;0.0;0.0;-1;0;0;0;0
