"travis_id";"ght_id";"watchers";"slug";"lang";"created_at";"last_build_finished_at";"order";"project_found";"log_found";"travis_present";"first_t_commit";"last_t_commit";"active";"last_build_duration";"yml_contribs";"yml_commits";"job_count";"repo_id";"build_id";"last_build";"commits";"contribs";"last_commit";"build_count";"first_build";"yml_deleted";"travis_abandoned";"builds_period";"travis_period";"pushes";"PRs";"project_age";"abandoned";"commit_time_after_last_build";"abandoned_and_alive"
6334;98435;243;"andris9/simplesmtp";"JavaScript";2012-01-20;"2015-02-16";11850;1;1;1;"2012-01-22";"2015-02-16";1;38;2;8;2;6334;51000938;2015-02-16;259;30;2015-02-16;238;2012-01-22;0;0;1121;1121;192;46;2244;0;0;FALSE
6344;96334;137;"robinst/taglib-ruby";"C++";2011-09-13;"2015-12-28";17823;1;1;1;"2012-01-22";"2015-12-27";1;199;1;7;4;6344;99079957;2015-12-28;377;6;2015-12-28;145;2012-01-22;0;0;1436;1435;100;45;2373;0;0;FALSE
6345;138062;80;"medikoo/event-emitter";"JavaScript";2011-07-19;"2017-03-15";25152;1;1;1;"2012-01-22";"2015-09-28";1;177;2;9;4;6345;211388954;2017-03-15;168;2;2016-12-29;76;2012-01-22;0;0;1879;1345;72;4;2429;0;-76;FALSE
6359;107298;26;"forrest/prawnto";"Ruby";2013-04-16;"2012-04-25";46888;1;1;1;"2012-01-22";"2012-04-24";0;106;1;3;2;6359;1169400;2012-04-25;167;30;2013-04-16;24;2012-01-22;0;1;94;93;24;0;1792;1;356;TRUE
6432;18331;15;"adhearsion/adhearsion-asterisk";"Ruby";2011-11-11;"2016-01-08";60342;1;1;1;"2012-03-12";"2014-01-02";1;824;1;5;4;6432;101062161;2016-01-08;158;8;2014-04-16;88;2012-01-24;0;0;1445;661;83;5;2314;0;-632;FALSE
6440;212689;7;"Sylius/SyliusPricingBundle";"PHP";2011-08-09;"2016-03-05";84436;1;1;0;"2014-04-14";"2016-03-11";0;390;3;6;3;6440;113830112;2016-03-05;115;23;2016-11-28;51;2012-01-24;1;1;1502;697;51;0;2408;1;268;TRUE
6449;218490;7;"citrus/spree_wholesale";"Ruby";2011-01-11;"2012-05-25";87648;1;1;1;"2012-01-24";"2012-05-11";1;862;1;4;5;6449;1435507;2012-05-25;178;5;2012-05-25;9;2012-01-24;0;0;122;108;9;0;2618;0;0;FALSE
6977;87116;91;"michaelklishin/quartz-mongodb";"Java";2012-03-03;"2017-02-07";23258;1;1;1;"2012-02-05";"2016-09-13";1;458;5;16;3;6977;199261780;2017-02-07;571;37;2017-02-07;277;2012-02-05;0;0;1829;1682;173;104;2201;0;0;FALSE
6984;400364;103;"jordansissel/ruby-cabin";"Ruby";2011-10-10;"2013-07-24";21545;1;1;1;"2012-02-07";"2015-02-28";0;316;2;2;6;6984;9448415;2013-07-24;144;10;2016-09-02;44;2012-02-05;0;1;535;1117;40;4;2346;1;1136;TRUE
6996;2414406;2;"asaaki/mongoid_upk";"Ruby";2012-02-05;"2012-02-19";134157;1;1;1;"2012-02-05";"2012-02-05";0;657;1;1;7;6996;699956;2012-02-19;17;1;2013-03-20;9;2012-02-05;0;1;14;0;9;0;2228;1;395;TRUE
