probability type
0.016159577422454028 All
0.016112349023671205 All
0.022306126621758623 All
0.016114942255658408 All
0.016139722328546366 All
0.01603432714430017 All
0.01603432714430017 All
0.0160983585303538 All
0.06193288976483756 All
0.027195376475534046 All
0.016193557807958284 All
0.01603432714430017 All
0.01603432714430017 All
0.016099617513682603 All
0.01603432714430017 All
0.21656859960458413 All
0.016182758691406268 All
0.02885416996635482 All
0.01665945762190011 All
0.016168614133516754 All
0.016158193374193927 All
0.01610338020700487 All
0.016106113927975493 All
0.01695290460047862 All
0.01603432714430017 All
0.01603432714430017 All
0.01804964857348052 All
0.02094210138266317 All
0.016170327309986944 All
0.01786784060153198 All
0.016114294208986305 All
0.016117292955779624 All
0.01603432714430017 All
0.017869564565741486 All
0.01613403702067913 All
0.019109280779634724 All
0.01615742658928772 All
0.016129498739487262 All
0.01804943788089894 All
0.016131558782819334 All
0.01784771007565504 All
0.0161106104898901 All
0.017889309565337408 All
0.016273385230647627 All
0.01616134239146315 All
0.017949570062000462 All
0.017785418371394416 All
0.019461628318575244 All
0.016096756298745664 All
0.01953876969710326 All
0.018954161956156568 All
0.016136640497733293 All
0.016095495655182836 All
0.017821030162873782 All
0.01613442462042576 All
0.016582782213118857 All
0.016102124737347883 All
0.02094210138266317 All
0.038102796240216195 All
0.01603432714430017 All
0.016781695312182068 All
0.016155911241053086 All
0.01843749315102509 All
0.016112880560013688 All
0.016130060969242896 All
0.022076233518330088 All
0.017793485227430197 All
0.21866277073067433 All
0.0161937029484568 All
0.01603432714430017 All
0.021702094479329883 All
0.01603432714430017 All
0.01603432714430017 All
0.017713123785966196 All
0.019494581990894905 All
0.01603432714430017 All
0.016146573857279627 All
0.01610787941950975 All
0.01624006748607273 All
0.01722139039341219 All
0.01611013773044497 All
0.022352722478817467 All
0.016970595071550073 All
0.016131311240395227 All
0.016260684031570882 All
0.022578107896733948 All
0.016139991472700076 All
0.05549228014091532 All
0.03804811674849197 All
0.016150676957684646 All
0.016131178920652346 All
