['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/redox-os/rust/pull/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/redox-os/rust/pull/2', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/redox-os/rust/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/jseyfried/rust/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/78', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/33', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/28', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/24', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/21', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/20', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/12', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/10', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/avr-rust/rust/pull/91', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/nrc/rust/pull/3', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/nrc/rust/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/Aaronepower/rust/pull/1', 'https://github.com/nrc/rust/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
