['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10715', 'https://api.github.com/repos/gouache/Marlin/pulls/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10715', 'https://api.github.com/repos/gouache/Marlin/pulls/2', [0.07526332476995953, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.031368466995536984]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10715', 'https://api.github.com/repos/gouache/Marlin/pulls/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10714', 'https://api.github.com/repos/gouache/Marlin/pulls/5', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10714', 'https://api.github.com/repos/gouache/Marlin/pulls/4', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10714', 'https://api.github.com/repos/gouache/Marlin/pulls/3', [0.0, 0.08627557192992338, 0, 0.0, 0.0, 0, 0, 0], 0.025526502295223245]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10714', 'https://api.github.com/repos/gouache/Marlin/pulls/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10714', 'https://api.github.com/repos/gouache/Marlin/pulls/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10713', 'https://api.github.com/repos/gouache/Marlin/pulls/5', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10713', 'https://api.github.com/repos/gouache/Marlin/pulls/4', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10713', 'https://api.github.com/repos/gouache/Marlin/pulls/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10713', 'https://api.github.com/repos/gouache/Marlin/pulls/2', [0.09102106044681263, 0.0, 0, 0.0, 0.0, 0, 0, 1.0], 0.03265259076662867]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10713', 'https://api.github.com/repos/gouache/Marlin/pulls/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10711', 'https://api.github.com/repos/gouache/Marlin/pulls/5', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10711', 'https://api.github.com/repos/gouache/Marlin/pulls/4', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10711', 'https://api.github.com/repos/gouache/Marlin/pulls/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10711', 'https://api.github.com/repos/gouache/Marlin/pulls/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
['https://api.github.com/repos/MarlinFirmware/Marlin/pulls/10711', 'https://api.github.com/repos/gouache/Marlin/pulls/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447]
