['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/74', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/73', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/72', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/71', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/70', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/69', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/67', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/66', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/65', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/63', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/62', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/61', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/60', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/59', [0.0, 0.012118123677503118, 0, 0, 0.0, 0, 0, 0], 0.02308841903161514, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/58', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/57', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/56', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/55', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/54', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/53', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/52', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/51', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
