facebook/react 11894 12629 title: 0.22, desc: 0.14, code: 0.63, file 0.39, location 0.29
facebook/react 11872 3664 title: 0.50, desc: 0.06, code: 0.00, file 0.00, location 0.00
facebook/react 11867 9671 title: 0.22, desc: 0.00, code: 0.10, file 0.25, location 0.33
facebook/react 11860 12599 title: 0.22, desc: 0.09, code: 0.09, file 0.25, location 0.00
facebook/react 11832 11879 title: 0.00, desc: 0.06, code: 0.75, file 1.00, location 0.64
facebook/react 11803 11332 title: 0.47, desc: 0.06, code: 0.00, file 0.00, location 0.00
facebook/react 11792 9841 title: 0.29, desc: 0.03, code: 0.00, file 0.00, location 0.00
facebook/react 11757 11295 title: 0.00, desc: 0.00, code: 0.03, file 1.00, location 0.00
facebook/react 11716 10490 title: 0.33, desc: 0.01, code: 0.06, file 0.25, location 0.00
facebook/react 11713 9656 title: 0.31, desc: 0.09, code: 0.00, file 0.00, location 0.00
facebook/react 11696 10982 title: 0.50, desc: 0.03, code: 0.00, file 0.00, location 0.00
facebook/react 11658 11830 title: 0.10, desc: 0.04, code: 0.28, file 0.50, location 0.50
facebook/react 11652 11282 title: 0.50, desc: 0.04, code: 0.00, file 0.00, location 0.00
facebook/react 11639 12080 title: 0.06, desc: 0.00, code: 0.17, file 0.50, location 0.00
facebook/react 11623 12078 title: 0.05, desc: 0.01, code: 0.16, file 0.40, location 0.17
facebook/react 11575 12036 title: 0.00, desc: 0.00, code: 0.90, file 0.60, location 0.82
facebook/react 11571 8135 title: 0.57, desc: 0.03, code: 0.00, file 0.00, location 0.00
facebook/react 11487 11787 title: 0.08, desc: 0.04, code: 0.11, file 0.29, location 0.11
facebook/react 11451 799 title: 0.44, desc: 0.00, code: 0.00, file 0.00, location 0.00
facebook/react 10830 11333 title: 0.24, desc: 0.06, code: 0.38, file 0.25, location 0.00
facebook/react 10666 9490 title: 0.57, desc: 0.00, code: 0.54, file 0.50, location 0.24
facebook/react 9508 10666 title: 0.18, desc: 0.07, code: 0.39, file 0.33, location 0.00
facebook/react 9490 10666 title: 0.57, desc: 0.00, code: 0.54, file 0.50, location 0.24
facebook/react 9333 11879 title: 0.11, desc: 0.08, code: 1.00, file 1.00, location 1.00
facebook/react 9184 6815 title: 0.23, desc: 0.03, code: 0.00, file 0.00, location 0.00
facebook/react 9018 7957 title: 0.00, desc: 0.02, code: 0.00, file 0.25, location 0.93
