['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/9', [0.0, 0.023777931233706164, 0, 0.0, 0.0, 0, 0, 0], 0.023441660469230206, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/8', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/7', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/6', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/4', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/3', [0.0, 0.8267451647303365, 0, 0.0, 0.0, 0, 0, 0], 0.09536328134954357, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/2', [0.0, 0.8267451647303365, 0, 0.0, 0.0, 0, 0, 0], 0.09536328134954357, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/1', [0.0, 0.22130401420679605, 0, 0, 0.0, 0, 0, 0], 0.03133263477863662, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/lyrixx/symfony/pull/14', [0.0, 0.01926639994909479, 0, 0.0, 0.0, -1, 0, 0], 0.023255977732146334, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/sellingsource/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/kevin-verschaeve/symfony/pull/1', 'https://github.com/schmittjoh/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
