['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/21', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/20', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/19', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/18', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/17', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/16', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/15', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/14', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/13', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/12', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/11', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/10', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/9', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/8', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/7', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/6', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/5', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/4', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/3', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/2', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/1', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/42', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/contoso-dnf-a/corefx/pull/40', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/luizb/corefx/pull/1', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/ericstj/corefx/pull/1', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/ellismg/corefx/pull/10', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/ellismg/corefx/pull/9', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/ellismg/corefx/pull/8', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/bartonjs/corefx/pull/1', 'https://github.com/ellismg/corefx/pull/7', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
