['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/6', [0.0, 0.09487833388680805, 0, 0.0, 0.0, 0, 0, 0], 0.025840407993787746, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/3', [0.0, 0.02556545092218731, 0, 0, 0.0, 0, 0, 0], 0.023496761635786376, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/1', [0.0, 0.014242516600350686, 0, 0.0, 0.0, 0, 0, 0], 0.023151987595406414, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/8', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/7', [0.0, 0.06139285675715465, 0, 0.0, 0.0, 0, 0, 0], 0.024656304804327994, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/trabian/react-native/pull/4', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/ransj/react-native/pull/1', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/22', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/21', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/20', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/19', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/18', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/magicien/react-native/pull/1', 'https://github.com/skillz/react-native/pull/17', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
