elastic/elasticsearch 32138 : [(5641, 0.9175090895329614), (9341, 0.8685352667834296), (30240, 0.49053651329811265), (28783, 0.4704955922579681), (9485, 0.4558920730446658), (30251, 0.4532380803679281), (10185, 0.4520277732486269), (10325, 0.45127331366491946), (25294, 0.4497906320020021), (20346, 0.44784537940481434)]
elastic/elasticsearch 32137 : [(30520, 0.38869051942633487), (9518, 0.14804655071112666), (18204, 0.11337485682377543), (32008, 0.10495993703241897), (31998, 0.10197391586515707), (31082, 0.08997015358080417), (30518, 0.08949330734761189), (25552, 0.072675379303636), (14899, 0.06645741578950472), (30263, 0.06438521331931496)]
elastic/elasticsearch 32135 : [(31501, 0.9932195240172744), (31334, 0.9484131420366134), (31376, 0.9264267939706116), (31373, 0.9076983454646455), (5641, 0.9007336094371061), (31829, 0.8775081541010473), (9341, 0.8482940753387065), (30240, 0.4776134522669328), (28783, 0.47131366717429823), (20346, 0.46006314977094975)]
elastic/elasticsearch 32134 : [(28077, 0.12722076610037977), (11718, 0.07926720313822196), (25838, 0.07260654287325388), (26825, 0.06905052839503369), (1040, 0.06086841958073159), (13024, 0.060054535615507276), (18180, 0.05948087281031379), (18352, 0.057636550055754125), (15967, 0.057080186245032916), (27825, 0.053683466771850326)]
elastic/elasticsearch 32132 : [(31644, 0.9197206136049311), (25205, 0.1311556771984256), (24885, 0.12665614096156397), (30533, 0.12025506206844014), (24643, 0.11752087420857978), (24690, 0.0990261219113236), (30302, 0.085845251808481), (27996, 0.08330599968662288), (26029, 0.07674114638179835), (28256, 0.07273640271731714)]
elastic/elasticsearch 32131 : [(12209, 0.3647859465206436), (30479, 0.3221642530867769), (20709, 0.2398699959740573), (12886, 0.23105394411474436), (9885, 0.23011053530149225), (20894, 0.22774046631352526), (20659, 0.22570237045450256), (8889, 0.22525919235185166), (13570, 0.22492209189286086), (9269, 0.22211120381287197)]
elastic/elasticsearch 32128 : [(21867, 0.671969557454489), (21890, 0.6422603616416986), (29684, 0.47704781598451845), (30289, 0.45773254944101677), (23342, 0.44595108556342905), (17277, 0.4250428727900033), (24748, 0.4241221247878993), (18176, 0.4220037605361602), (21751, 0.4155448568393558), (14371, 0.40781418169922745)]
elastic/elasticsearch 32121 : [(31442, 0.14606144927056125), (4641, 0.11723760542369656), (18560, 0.11199717290623801), (18930, 0.10713200506552775), (21856, 0.10402077875560431), (13158, 0.10135507034307165), (30436, 0.09793724196819593), (30980, 0.09562649421649562), (13645, 0.09343745902710876), (24698, 0.0931009439444245)]
elastic/elasticsearch 32116 : [(31201, 0.2510125950134271), (25938, 0.21890623222081756), (25937, 0.1868466081095556), (5880, 0.1433080334315887), (23297, 0.14069713752498306), (28773, 0.1332108985795225), (28751, 0.1332108985795225), (19923, 0.11936719766063533), (22572, 0.1179967203368805), (22603, 0.11068580701724647)]
elastic/elasticsearch 32115 : [(31434, 0.7046238234328547), (31123, 0.7013437764553659), (31510, 0.23760183128153303), (30824, 0.2367066459961495), (30916, 0.15824159813716626), (16800, 0.15447032276881434), (30794, 0.12506628997636424), (30221, 0.12205001790444463), (19715, 0.11145435427694357), (30499, 0.11085353116460292)]
