['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50445', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50444', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50443', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50442', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50441', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50440', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50439', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50438', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50437', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50436', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50435', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50434', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50433', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50432', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50431', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50430', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50429', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50428', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50427', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50426', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50425', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50424', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50423', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50422', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50421', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50420', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50419', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/cosgroveb/brew-cask/pull/1', 'https://github.com/Homebrew/homebrew-cask/pull/50418', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
