,,,,,,title,desc,code,file_list,location,pattern,,
facebook/react,9334,9018,0.9628,1,N/A,0.5227,0.3731,0,0.25,0.8205,0,https://www.github.com/facebook/react/pull/9334,https://www.github.com/facebook/react/pull/9018
facebook/react,10988,10822,0.9626,1,N/A,0.5945,0.1793,0.0783,0.2857,0.4656,0,https://www.github.com/facebook/react/pull/10988,https://www.github.com/facebook/react/pull/10822
facebook/react,7126,6769,0.9534,1,N/A,0.8511,0.0225,0,0.0159,0.3797,-1,https://www.github.com/facebook/react/pull/7126,https://www.github.com/facebook/react/pull/6769
facebook/react,8462,8227,0.953,1,N/A,0.1779,0.229,0.6386,0.1818,0.9298,-1,https://www.github.com/facebook/react/pull/8462,https://www.github.com/facebook/react/pull/8227
facebook/react,4943,3995,0.9515,1,N/A,0.5268,-0.0057,0.4525,0.4,0,-1,https://www.github.com/facebook/react/pull/4943,https://www.github.com/facebook/react/pull/3995
facebook/react,7571,7455,0.951,1,N/A,0.8085,0,0,0.2,0,0,https://www.github.com/facebook/react/pull/7571,https://www.github.com/facebook/react/pull/7455
facebook/react,10293,10291,0.9509,1,N/A,0.5602,0,0,1,0,0,https://www.github.com/facebook/react/pull/10293,https://www.github.com/facebook/react/pull/10291
facebook/react,2740,2495,0.9413,1,N/A,0.5102,-0.0235,0,0.5,0.6842,0,https://www.github.com/facebook/react/pull/2740,https://www.github.com/facebook/react/pull/2495
facebook/react,3603,962,0.9397,1,N/A,0.3158,0.0171,0.3356,0.375,0.8846,0,https://www.github.com/facebook/react/pull/3603,https://www.github.com/facebook/react/pull/962
facebook/react,10280,2490,0.9396,1,N/A,0.7881,0.2097,0,0,0,0,https://www.github.com/facebook/react/pull/10280,https://www.github.com/facebook/react/pull/2490
facebook/react,7217,6706,0.9389,1,N/A,0.8473,-0.0128,0,0,0,0,https://www.github.com/facebook/react/pull/7217,https://www.github.com/facebook/react/pull/6706
facebook/react,10825,10761,0.9375,1,N/A,0.0103,0.4499,0.592,0.1667,0,1,https://www.github.com/facebook/react/pull/10825,https://www.github.com/facebook/react/pull/10761
facebook/react,7329,992,0.9339,1,N,0.8242,0.0314,0,0,0,0,https://www.github.com/facebook/react/pull/7329,https://www.github.com/facebook/react/pull/992
facebook/react,5787,4220,0.9326,1,N/A,0.2652,0.1028,0.5778,0.6667,0,-1,https://www.github.com/facebook/react/pull/5787,https://www.github.com/facebook/react/pull/4220
facebook/react,6808,5657,0.9267,1,N/A,0.8191,0,0,0,0,0,https://www.github.com/facebook/react/pull/6808,https://www.github.com/facebook/react/pull/5657
facebook/react,8764,8655,0.9255,1,MSR,-0.0038,0,0.9399,0.2222,0.8421,0,https://www.github.com/facebook/react/pull/8764,https://www.github.com/facebook/react/pull/8655
facebook/react,6273,6193,0.9249,1,N/A,0.0014,0.064,1,0.0312,1,0,https://www.github.com/facebook/react/pull/6273,https://www.github.com/facebook/react/pull/6193
facebook/react,6432,937,0.9149,1,N/A,0.2514,0.0584,0.1313,1,0.3714,0,https://www.github.com/facebook/react/pull/6432,https://www.github.com/facebook/react/pull/937
facebook/react,7707,7457,0.9133,1,N/A,0.1096,0.0759,0.544,0.4762,0.7334,0,https://www.github.com/facebook/react/pull/7707,https://www.github.com/facebook/react/pull/7457
facebook/react,7090,1963,0.9131,1,N/A,0.0341,0.0687,0.7071,1,0,0,https://www.github.com/facebook/react/pull/7090,https://www.github.com/facebook/react/pull/1963
facebook/react,4132,2263,0.9118,1,N/A,-0.0079,0,1,0.0417,1,0,https://www.github.com/facebook/react/pull/4132,https://www.github.com/facebook/react/pull/2263
facebook/react,6716,1980,0.9096,1,N/A,0.5774,0.2331,0,0.0015,0.7333,0,https://www.github.com/facebook/react/pull/6716,https://www.github.com/facebook/react/pull/1980
facebook/react,7955,6625,0.9091,1,N/A,0.6808,0.4233,0,0,0,0,https://www.github.com/facebook/react/pull/7955,https://www.github.com/facebook/react/pull/6625
facebook/react,5698,5695,0.9087,1,N/A,0.4749,-0.0035,0,1,0,0,https://www.github.com/facebook/react/pull/5698,https://www.github.com/facebook/react/pull/5695
facebook/react,12914,11620,0.9039,1,N/A,0.388,0.1878,0,0.3333,1,0,https://www.github.com/facebook/react/pull/12914,https://www.github.com/facebook/react/pull/11620
facebook/react,12037,870,0.8982,1,N/A,0.3386,0.3276,0,0,0,1,https://www.github.com/facebook/react/pull/12037,https://www.github.com/facebook/react/pull/870
facebook/react,338,320,0.8961,1,N/A,0.2967,0.1743,0.3361,0.125,0.9555,0,https://www.github.com/facebook/react/pull/338,https://www.github.com/facebook/react/pull/320
facebook/react,8463,4816,0.8937,1,N/A,0.6109,0,0,0.5,0,0,https://www.github.com/facebook/react/pull/8463,https://www.github.com/facebook/react/pull/4816
facebook/react,11127,10081,0.8828,1,N/A,0.6798,0.2862,0,0,0,0,https://www.github.com/facebook/react/pull/11127,https://www.github.com/facebook/react/pull/10081
facebook/react,2066,2049,0.879,1,N/A,0.2957,0.167,0.2858,0.2,0.825,-1,https://www.github.com/facebook/react/pull/2066,https://www.github.com/facebook/react/pull/2049
facebook/react,6311,4052,0.878,1,N/A,0.4323,0.1482,0,0.3333,0.75,-1,https://www.github.com/facebook/react/pull/6311,https://www.github.com/facebook/react/pull/4052
facebook/react,3175,1189,0.8778,1,N/A,0.7339,0.0557,0,0,0,0,https://www.github.com/facebook/react/pull/3175,https://www.github.com/facebook/react/pull/1189
